lemma,pos,frequency_rank,cefr_level,notes
и,con,1,A1,
в,adpos,2,A1,
не,adv,3,A1,
на,adpos,4,A1,
я,pron,5,A1,
что,con,6,A1,
что,det,7,A1,
что,pron,8,A1,
быть,v,9,A1,
он,pron,10,A1,
а,con,11,A1,
это,det,12,A1,
это,pron,13,A1,
как,con,14,A1,
то,particle,15,A1,
этот,pron,16,A1,
к,adpos,17,a1,
они,pron,18,A1,
мы,pron,19,A1,
она,pron,20,A1,
из,adpos,21,a1,
у,adpos,22,A1,
вы,pron,23,A1,
для,adpos,24,A1,
от,adpos,25,A1,
так,adv,26,A1,
так,con,27,A1,
мочь,v,28,A1,
все,pron,29,A1,
ты,pron,30,A1,
год,n,31,A1,
человек,n,32,A1,
один,num,33,A1,
один,pron,34,A1,
такой,pron,35,A1,
тот,pron,36,A1,
или,con,37,A1,
только,particle,38,A1,
его,pron,39,a1,
себя,pron,40,a1,
время,n,41,A1,
когда,con,42,a1,
другой,pron,43,A1,
сказать,v,44,A1,
мой,pron,45,A1,
наш,pron,46,A1,
говорить,v,47,A1,
знать,v,48,A1,
вот,particle,49,A1,
очень,adv,50,A1,
нет,particle,51,A1,
кто,pron,52,A1,
да,excl,53,A1,
день,n,54,A1,
можно,adv,55,A1,
жизнь,n,56,A1,
два,num,57,A1,
новый,adj,58,A1,
раз,n,59,A1,
хотеть,v,60,A1,
должен,adv,61,A1,
какой,pron,62,A1,
со,adpos,63,a1,
там,adv,64,A1,
там,pron,65,A1,
их,pron,66,A1,
много,adv,67,A1,
работа,n,68,A1,
иметь,v,69,A1,
где,adv,70,A1,
вопрос,n,71,A1,
рука,n,72,A1,
город,n,73,A1,
ее,pron,74,a1,
слово,n,75,A1,
место,n,76,A1,
без,adpos,77,A1,
ребенок,n,78,A1,
просто,adv,79,A1,
друг,n,80,A1,
большой,adj,81,A1,
надо,adv,82,A1,
ваш,pron,83,A1,
сделать,v,84,A1,
идти,v,85,A1,
здесь,adv,86,A1,
делать,v,87,A1,
сейчас,adv,88,A1,
россия,n prop,89,A1,
видеть,v,90,A1,
думать,v,91,A1,
хороший,adj,92,A1,
глаз,n,93,A1,
тут,adv,94,A1,
дом,n,95,A1,
страна,n,96,A1,
работать,v,97,A1,
лицо,n,98,A1,
жить,v,99,A1,
часть,n,100,A1,
женщина,n,101,A1,
голова,n,102,A1,
проблема,n,103,a1,
конец,n,104,A1,
смотреть,v,105,A1,
пока,adv,106,A1,
русский,adj,107,A1,
три,num,108,A1,
деньги,n,109,A1,
почему,adv,110,A1,
понимать,v,111,A1,
москва,n prop,112,A1,
хорошо,adv,113,A1,
час,n,114,A1,
сегодня,adv,115,A1,
книга,n,116,A1,
пойти,v,117,A1,
любить,v,118,A1,
высокий,adj,119,A1,
нужно,adv,120,A1,
твой,pron,121,A1,
больше,adv,122,A1,
например,adv,123,A1,
группа,n,124,A1,
писать,v,125,A1,
сидеть,v,126,A1,
машина,n,127,A1,
стоять,v,128,a1,
имя,n,129,A1,
стоить,v,130,A1,
маленький,adj,131,A1,
ответ,n,132,A1,
вода,n,133,A1,
язык,n,134,A1,
далеко,adv,135,A1,
нужный,adj,136,A1,
давать,v,137,A1,
российский,adj,138,A1,
народ,n,139,A1,
ночь,n,140,A1,
оно,pron,141,A1,
дверь,n,142,a1,
число,n,143,A1,
следующий,adj,144,A1,
написать,v,145,A1,
отец,n,146,A1,
нога,N,147,A1,
старый,adj,148,A1,
тысяча,num,149,A1,
месяц,n,150,A1,
минута,n,151,A1,
мало,adv,152,A1,
автор,n,153,A1,
начинать,v,154,A1,
свет,n,155,A1,
школа,n,156,A1,
мужчина,n,157,A1,
внимание,n,158,a1,
молодой,adj,159,A1,
скоро,adv,160,A1,
важный,adj,161,A1,
ждать,v,162,a1,
игра,n,163,a1,
читать,v,164,A1,
жена,n,165,A1,
письмо,n,166,A1,
вечер,n,167,A1,
настоящий,adj,168,A1,
семья,n,169,A1,
простой,adj,170,A1,
вещь,n,171,A1,
утро,n,172,A1,
мать,n,173,A1,
рынок,n,174,a1,
девушка,n,175,A1,
сколько,adv,176,A1,
стол,n,177,A1,
улица,n,178,A1,
помнить,v,179,A1,
называть,v,180,A1,
точка,n,181,A1,
нельзя,adv,182,A1,
белый,adj,183,A1,
опять,adv,184,A1,
куда,adv,185,A1,
неделя,n,186,A1,
комната,n,187,A1,
цена,n,188,A1,
сын,n,189,A1,
играть,v,190,a1,
заниматься,v,191,A1,
мама,n,192,A1,
лежать,v,193,a1,
пять,num,194,A1,
быстро,adv,195,A1,
черный,adj,196,A1,
муж,n,197,A1,
ходить,v,198,A1,
