lemma,pos,cefr_level,frequency_rank
и,con,A1,1
в,adpos,A1,2
не,adv,A1,3
на,adpos,A1,4
я,pron,A1,5
что,con,A1,6
что,det,A1,7
что,pron,A1,8
быть,v,A1,9
с,adpos,A2,10
он,pron,A1,11
а,con,A1,12
это,det,A1,13
это,pron,A1,14
как,con,A1,15
то,particle,A1,16
этот,pron,A1,17
по,adpos,A2,18
к,adpos,A1,19
но,con,A2,20
они,pron,A1,21
мы,pron,A1,22
она,pron,A1,23
который,pron,A2,24
из,adpos,A1,25
у,adpos,A1,26
свой,pron,A2,27
вы,pron,A1,28
весь,pron,A2,29
за,adpos,A2,30
для,adpos,A1,31
от,adpos,A1,32
о,adpos,A2,33
так,adv,A1,34
так,con,A1,35
мочь,v,A1,36
все,pron,A1,37
ты,pron,A1,38
же,particle,B1,39
год,n,A1,40
человек,n,A1,41
один,num,A1,42
один,pron,A1,43
такой,pron,A1,44
тот,pron,A1,45
или,con,A1,46
если,con,A2,47
только,particle,A1,48
его,pron,A1,49
бы,v mod,A2,50
себя,pron,A1,51
время,n,A1,52
когда,con,A1,53
еще,particle,A2,54
уже,adv,A2,55
другой,pron,A1,56
сказать,v,A1,57
до,adpos,A2,58
мой,pron,A1,59
наш,pron,A1,60
чтобы,con,A2,61
говорить,v,A1,62
самый,pron,A2,63
знать,v,A1,64
вот,particle,A1,65
очень,adv,A1,66
нет,particle,A1,67
кто,pron,A1,68
при,adpos,A2,69
да,excl,A1,70
день,n,A1,71
первый,num,A2,72
даже,particle,B1,73
можно,adv,A1,74
жизнь,n,A1,75
ни,con,A2,76
сам,pron,A2,77
дело,n,A2,78
два,num,A1,79
новый,adj,A1,80
раз,n,A1,81
хотеть,v,A1,82
должен,adv,A1,83
ли,con,B1,84
какой,pron,A1,85
со,adpos,A1,86
там,adv,A1,87
там,pron,A1,88
их,pron,A1,89
много,adv,A1,90
работа,n,A1,91
иметь,v,A1,92
после,adv,A2,93
где,adv,A1,94
вопрос,n,A1,95
рука,n,A1,96
город,n,A1,97
ее,pron,A1,98
под,adpos,A2,99
каждый,pron,A2,100
слово,n,A1,101
место,n,A1,102
без,adpos,A1,103
ну,particle,B2,104
ребенок,n,A1,105
просто,adv,A1,106
более,adv,B2,107
друг,n,A1,108
большой,adj,A1,109
надо,adv,A1,110
чем,con,A2,111
ваш,pron,A1,112
сделать,v,A1,113
идти,v,A1,114
здесь,adv,A1,115
делать,v,A1,116
сейчас,adv,A1,117
россия,n prop,A1,118
видеть,v,A1,119
потом,adv,A2,120
ничто,pron,B2,121
через,adpos,A2,122
мир,n,A2,123
теперь,adv,A2,124
несколько,adv,A2,125
думать,v,A1,126
случай,n,A2,127
сторона,n,A2,128
хороший,adj,A1,129
тоже,particle,A2,130
глаз,n,A1,131
тогда,adv,A2,132
тут,adv,A1,133
дом,n,A1,134
страна,n,A1,135
об,adpos,A2,136
сила,n,A2,137
последний,adj,A2,138
работать,v,A1,139
также,adv,B2,140
лицо,n,A1,141
жить,v,A1,142
часть,n,A1,143
хотя,con,B1,144
женщина,n,A1,145
система,n,B2,146
всегда,adv,A2,147
являться,v,B1,148
вид,n,A2,149
голова,n,A1,150
проблема,n,A1,151
конец,n,A1,152
ведь,particle,C1,153
между,adpos,A2,154
конечно,adv,A2,155
смотреть,v,A1,156
пока,adv,A1,157
отношение,n,B1,158
русский,adj,A1,159
три,num,A1,160
второй,num,A2,161
именно,particle,C1,162
перед,adpos,A2,163
лишь,particle,B2,164
образ,n,B2,165
деньги,n,A1,166
поэтому,con,A2,167
почему,adv,A1,168
понимать,v,A1,169
москва,n prop,A1,170
любой,pron,A2,171
однако,con,C1,172
хорошо,adv,A1,173
никто,pron,A2,174
час,n,A1,175
считать,v,A2,176
взять,v,A2,177
над,adpos,A2,178
земля,n,A2,179
сегодня,adv,A1,180
вообще,adv,B2,181
книга,n,A1,182
пойти,v,A1,183
возможность,n,B2,184
некоторый,pron,B2,185
компания,n,B1,186
история,n,B1,187
любить,v,A1,188
высокий,adj,A1,189
нужно,adv,A1,190
почти,adv,A2,191
твой,pron,A1,192
результат,n,B1,193
больше,adv,A1,194
например,adv,A1,195
право,n,B1,196
группа,n,A1,197
писать,v,A1,198
сидеть,v,A1,199
путь,n,A2,200
машина,n,A1,201
что-то,pron,B1,202
находиться,v,A2,203
увидеть,v,A2,204
война,n,B1,205
казаться,v,B2,206
стоять,v,A1,207
имя,n,A1,208
никогда,adv,A2,209
стоить,v,A1,210
маленький,adj,A1,211
ответ,n,A1,212
вода,n,A1,213
решение,n,B1,214
бог,n,A2,215
совсем,adv,A2,216
язык,n,A1,217
далеко,adv,A1,218
нужный,adj,A1,219
давать,v,A1,220
полный,adj,A2,221
российский,adj,A1,222
народ,n,A1,223
власть,n,B1,224
сразу,adv,A2,225
уровень,n,B1,226
ночь,n,A1,227
пора,adv,B1,228
часто,adv,A2,229
развитие,n,B1,230
программа,n,B1,231
начало,n,A2,232
никакой,pron,B2,233
оно,pron,A1,234
главный,adj,A2,235
дверь,n,A1,236
вместе,adv,A2,237
момент,n,B1,238
закон,n,B1,239
число,n,A1,240
цель,n,B1,241
следующий,adj,A1,242
написать,v,A1,243
отец,n,A1,244
правда,n,A2,245
нога,n,A1,246
старый,adj,A1,247
помощь,n,A2,248
может быть,mwe,A2,249
информация,n,B1,250
уж,adv,C2,251
тысяча,num,A1,252
подобный,adj,B2,253
разный,adj,A2,254
общий,adj,A2,255
месяц,n,A1,256
кроме,adpos,C1,257
минута,n,A1,258
мало,adv,A1,259
процесс,n,B2,260
ситуация,n,B1,261
смочь,v,A2,262
автор,n,A1,263
начинать,v,A1,264
форма,n,A2,265
голос,n,B1,266
собственный,adj,B2,267
мысль,n,A2,268
свет,n,A1,269
качество,n,B1,270
школа,n,A1,271
всякий,pron,B2,272
действие,n,B1,273
мужчина,n,A1,274
область,n,B2,275
внимание,n,A1,276
следовать,v,B1,277
использовать,v,B1,278
дорога,n,A2,279
связь,n,B1,280
взгляд,n,B1,281
условие,n,B1,282
молодой,adj,A1,283
скоро,adv,A1,284
снова,adv,B2,285
любовь,n,A2,286
основной,adj,B1,287
становиться,v,A2,288
важный,adj,A1,289
ждать,v,A1,290
вдруг,adv,B1,291
игра,n,A1,292
читать,v,A1,293
статья,n,B1,294
организация,n,B2,295
средство,n,B2,296
существовать,v,B2,297
душа,n,B2,298
пытаться,v,B2,299
тело,n,B1,300
посмотреть,v,A2,301
общество,n,B2,302
жена,n,A1,303
государство,n,A2,304
оставаться,v,A2,305
совершенно,adv,B2,306
письмо,n,A1,307
состояние,n,B2,308
вечер,n,A1,309
настоящий,adj,A1,310
назад,adv,A2,311
смысл,n,B2,312
мера,n,B2,313
семья,n,A1,314
простой,adj,A1,315
вещь,n,A1,316
затем,adv,B2,317
причина,n,B1,318
утро,n,A1,319
мать,n,A1,320
рынок,n,A1,321
действительно,adv,B2,322
происходить,v,A2,323
данный,pron,B2,324
девушка,n,A1,325
вести,v,A2,326
сколько,adv,A1,327
тема,n,A2,328
стол,n,A1,329
проект,n,B2,330
улица,n,A1,331
государственный,adj,A2,332
помнить,v,A1,333
называть,v,A1,334
точка,n,A1,335
хотеться,v,A2,336
нельзя,adv,A1,337
белый,adj,A1,338
центр,n,A2,339
опять,adv,A1,340
равный,adj,B1,341
против,adv,B1,342
куда,adv,A1,343
неделя,n,A1,344
идея,n,B1,345
особенно,adv,B1,346
комната,n,A1,347
цена,n,A1,348
наконец,adv,B1,349
известный,adj,A2,350
среди,adpos,B1,351
сын,n,A1,352
деятельность,n,B2,353
играть,v,A1,354
правило,n,A2,355
советский,adj,C1,356
лучший,adj,A2,357
движение,n,B1,358
заниматься,v,A1,359
точно,particle,A2,360
огромный,adj,B1,361
мама,n,A1,362
задача,n,B2,363
великий,adj,B1,364
количество,n,B1,365
чувство,n,A2,366
иногда,adv,A2,367
слишком,adv,B2,368
смерть,n,B1,369
достаточно,adv,A2,370
достаточно,det,A2,371
достаточно,pron,A2,372
лежать,v,A1,373
мнение,n,B2,374
труд,n,A2,375
пять,num,A1,376
третий,num,A2,377
бывать,v,B1,378
готовый,adj,A2,379
быстро,adv,A1,380
черный,adj,A1,381
сильный,adj,A2,382
порядок,n,B1,383
чувствовать,v,A2,384
пример,n,A2,385
положение,n,B2,386
век,n,B1,387
продолжать,v,A2,388
подумать,v,A2,389
муж,n,A1,390
поскольку,con,C2,391
военный,n,B1,392
речь,n,A2,393
план,n,A2,394
совет,n,A2,395
политический,adj,B1,396
стена,n,A2,397
представлять,v,B1,398
слышать,v,A2,399
ходить,v,A1,400
окно,n,A1,401
рядом,adv,A2,402
прежде,adv,C1,403
опыт,n,B1,404
тип,n,B1,405
оба,det,A2,406
оба,pron,A2,407
около,adpos,A2,408
отвечать,v,A1,409
интерес,n,B1,410
современный,adj,A2,411
плохой,adj,A1,412
из-за,adpos,B1,413
сердце,n,A1,414
а также,mwe,B2,415
управление,n,B2,416
данные,n,B2,417
наука,n,A2,418
сообщение,n,A2,419
просить,v,A1,420
немного,adv,A2,421
газета,n,A2,422
интересный,adj,A2,423
живой,adj,B1,424
поставить,v,A2,425
необходимый,adj,B1,426
материал,n,B1,427
роль,n,A2,428
вполне,adv,B2,429
вполне,det,B2,430
будто,particle,B2,431
выходить,v,A1,432
рано,adv,A2,433
получать,v,A1,434
давно,adv,A2,435
армия,n,B1,436
рабочий,n,B2,437
четыре,num,A1,438
бояться,v,B1,439
различный,adj,B2,440
долго,adv,A1,441
привести,v,A2,442
президент,n,A2,443
либо,con,B2,444
менее,adv,B2,445
событие,n,C1,446
красный,adj,A1,447
социальный,adj,B1,448
искать,v,A2,449
большинство,n,B1,450
бизнес,n,B1,451
пусть,particle,B2,452
легко,adv,A1,453
правительство,n,A2,454
прямо,particle,A2,455
глава,n,B2,456
член,n,A2,457
суд,n,B2,458
возможно,adv,B2,459
принимать,v,B1,460
рубль,n,A1,461
миллион,num,A2,462
целый,adj,B1,463
приходить,v,A1,464
фильм,n,A1,465
обычно,adv,B2,466
счет,n,A1,467
спать,v,A1,468
небольшой,adj,A2,469
культура,n,A2,470
текст,n,A1,471
брать,v,A1,472
документ,n,A1,473
принцип,n,B2,474
разговор,n,B1,475
телефон,n,A1,476
правый,adj,A1,477
способ,n,B1,478
течение,n,B1,479
провести,v,A2,480
пол,n,A1,481
вокруг,adv,B1,482
проходить,v,A2,483
купить,v,A1,484
родитель,n,A1,485
ряд,n,B1,486
единственный,adj,A2,487
метр,n,A1,488
сайт,n,A2,489
партия,n,B1,490
позволять,v,B2,491
образование,n,A2,492
зачем,adv,A2,493
наверное,adv,A2,494
период,n,B1,495
кстати,adv,B2,496
пара,n,B1,497
квартира,n,A1,498
значение,n,B1,499
внутренний,adj,B1,500
требовать,v,B2,501
далее,adv,B2,502
основа,n,B2,503
возможный,adj,B2,504
желание,n,A2,505
слушать,v,A1,506
чуть,adv,A2,507
номер,n,A1,508
изменение,n,B1,509
очередь,n,A2,510
политика,n,B1,511
класс,n,A1,512
факт,n,B2,513
брат,n,A1,514
собираться,v,B2,515
определенный,adj,B2,516
довольно,adv,B2,517
производство,n,B2,518
создание,n,B2,519
район,n,A2,520
особый,adj,B2,521
верить,v,A2,522
спасибо,excl,A1,523
предприятие,n,B2,524
близкий,adj,A1,525
ход,n,B2,526
экономический,adj,B1,527
знакомый,adj,B1,528
человеческий,adj,B1,529
местный,adj,B2,530
небо,n,A2,531
направление,n,A2,532
туда,adv,A2,533
встреча,n,A2,534
шаг,n,A2,535
остальной,pron,B1,536
команда,n,A1,537
добрый,adj,A2,538
поле,n,B2,539
сша,n prop,A1,540
исследование,n,B2,541
общественный,adj,B2,542
мальчик,n,A1,543
еще не,mwe,A2,544
метод,n,B2,545
повод,n,B2,546
рост,n,B1,547
сначала,adv,A2,548
рассказывать,v,A1,549
сон,n,A1,550
уходить,v,A1,551
служба,n,B2,552
население,n,B1,553
воздух,n,A2,554
словно,particle,C1,555
кровь,n,B1,556
спрашивать,v,A1,557
зрение,n,B1,558
врач,n,A1,559
ехать,v,A1,560
нравиться,v,A1,561
приходиться,v,B2,562
знание,n,B1,563
все-таки,particle,B2,564
использование,n,B2,565
какой-то,pron,B1,566
десять,num,A1,567
палец,n,A1,568
обычный,adj,A2,569
необходимо,adv,B1,570
орган,n,B2,571
доллар,n,A1,572
держать,v,A2,573
во время,prep,B1,574
название,n,A1,575
похожий,adj,A2,576
дорогой,adj,A1,577
реальный,adj,B2,578
участие,n,B1,579
род,n,A1,580
наиболее,adv,B2,581
девочка,n,A1,582
крупный,adj,B2,583
море,n,A2,584
как-то,adv,B1,585
природа,n,A2,586
магазин,n,A1,587
вроде,particle,C2,588
память,n,B1,589
весьма,adv,C1,590
больший,adj,A2,591
домой,adv,A2,592
объект,n,B2,593
свобода,n,A2,594
продукт,n,A2,595
борьба,n,B1,596
личный,adj,B1,597
касаться,v,B2,598
отдельный,adj,B2,599
предмет,n,A2,600
представитель,n,B2,601
плечо,n,B1,602
национальный,adj,B1,603
музыка,n,A1,604
самолет,n,A1,605
позиция,n,B1,606
американский,adj,A1,607
стараться,v,B1,608
герой,n,B1,609
характер,n,A2,610
размер,n,A2,611
пить,v,A1,612
средний,adj,A2,613
срок,n,B2,614
институт,n,A1,615
сеть,n,B2,616
солнце,n,A1,617
серьезный,adj,B2,618
иначе,adv,B2,619
показывать,v,A2,620
союз,n,A2,621
дух,n,C1,622
интернет,n prop,A1,623
лес,n,A2,624
журнал,n,A2,625
степень,n,C1,626
предлагать,v,A2,627
территория,n,B2,628
март,n prop,A1,629
успех,n,C1,630
искусство,n,A2,631
участник,n,B1,632
парень,n,A2,633
свободный,adj,B1,634
гость,n,A1,635
впрочем,adv,C2,636
вариант,n,B2,637
предложение,n,A1,638
судьба,n,B1,639
составлять,v,C1,640
товар,n,B1,641
надеяться,v,B1,642
действовать,v,B2,643
международный,adj,B1,644
способный,adj,B2,645
практически,adv,C1,646
директор,n,B1,647
европа,n prop,A1,648
полностью,adv,B2,649
поздний,adj,B1,650
песня,n,A1,651
лучше,adj,A2,652
ум,n,A2,653
выбор,n,A2,654
кто-то,pron,B1,655
модель,n,B2,656
если бы,mwe,C1,657
река,n,A2,658
фирма,n,B1,659
гражданин,n,A1,660
товарищ,n,B1,661
нормальный,adj,A2,662
сознание,n,B2,663
